user_id,event_name,event_time,value
U0001,level_complete,2024-02-07 22:00:00,0.0
U0001,app_open,2024-02-08 15:00:00,0.0
U0001,level_complete,2024-02-18 15:00:00,0.0
U0001,purchase,2024-02-25 18:00:00,2.69
U0001,app_open,2024-02-23 09:00:00,0.0
U0001,level_complete,2024-02-01 09:00:00,0.0
U0001,app_open,2024-02-27 23:00:00,0.0
U0002,purchase,2024-01-20 02:00:00,1.18
U0002,purchase,2024-01-22 03:00:00,1.76
U0002,level_complete,2024-02-03 03:00:00,0.0
U0002,level_complete,2024-02-10 01:00:00,0.0
U0002,purchase,2024-01-18 05:00:00,12.64
U0002,purchase,2024-02-11 01:00:00,4.19
U0003,level_complete,2024-01-23 12:00:00,0.0
U0003,purchase,2024-01-10 01:00:00,7.8
U0003,app_open,2024-01-27 15:00:00,0.0
U0003,app_open,2024-01-26 00:00:00,0.0
U0003,purchase,2024-01-26 10:00:00,13.01
U0003,app_open,2024-01-18 20:00:00,0.0
U0003,level_complete,2024-01-08 02:00:00,0.0
U0004,app_open,2024-03-08 21:00:00,0.0
U0004,level_complete,2024-02-19 14:00:00,0.0
U0004,app_open,2024-02-21 04:00:00,0.0
U0004,app_open,2024-02-12 15:00:00,0.0
U0005,level_complete,2024-02-16 09:00:00,0.0
U0005,app_open,2024-02-04 15:00:00,0.0
U0005,app_open,2024-01-27 10:00:00,0.0
U0005,level_complete,2024-01-26 16:00:00,0.0
U0005,app_open,2024-02-18 22:00:00,0.0
U0005,purchase,2024-02-07 13:00:00,18.56
U0005,app_open,2024-01-27 22:00:00,0.0
U0005,level_complete,2024-01-31 04:00:00,0.0
U0006,app_open,2024-02-01 03:00:00,0.0
U0006,purchase,2024-01-10 23:00:00,10.75
U0006,app_open,2024-01-20 12:00:00,0.0
U0006,purchase,2024-01-10 07:00:00,6.7
U0006,app_open,2024-01-08 18:00:00,0.0
U0006,purchase,2024-01-07 00:00:00,5.95
U0006,app_open,2024-02-01 02:00:00,0.0
U0007,purchase,2024-02-04 11:00:00,3.72
U0007,purchase,2024-02-28 22:00:00,8.6
U0007,purchase,2024-01-31 20:00:00,8.85
U0007,app_open,2024-01-30 17:00:00,0.0
U0007,level_complete,2024-02-06 23:00:00,0.0
U0008,level_complete,2024-02-11 02:00:00,0.0
U0008,app_open,2024-02-28 01:00:00,0.0
U0008,level_complete,2024-02-02 17:00:00,0.0
U0008,level_complete,2024-02-12 20:00:00,0.0
U0009,app_open,2024-02-17 22:00:00,0.0
U0009,app_open,2024-02-04 05:00:00,0.0
U0009,purchase,2024-02-05 17:00:00,13.12
U0009,level_complete,2024-02-15 22:00:00,0.0
U0009,app_open,2024-03-01 19:00:00,0.0
U0009,app_open,2024-02-28 17:00:00,0.0
U0009,purchase,2024-02-09 23:00:00,5.16
U0010,app_open,2024-02-11 13:00:00,0.0
U0010,app_open,2024-02-09 04:00:00,0.0
U0010,app_open,2024-02-10 04:00:00,0.0
U0010,level_complete,2024-02-18 23:00:00,0.0
U0010,app_open,2024-01-27 02:00:00,0.0
U0010,app_open,2024-01-22 02:00:00,0.0
U0010,level_complete,2024-02-01 02:00:00,0.0
U0010,app_open,2024-02-09 06:00:00,0.0
U0010,app_open,2024-02-19 04:00:00,0.0
U0011,app_open,2024-02-23 14:00:00,0.0
U0011,level_complete,2024-03-21 14:00:00,0.0
U0011,app_open,2024-03-12 09:00:00,0.0
